time,open,High,Low,Close,volume,ADX,DI+,DI-
2013-11-13,496.9,498.62,495.68,496.12,64527100,17.66333844011116,20.80391265446452,19.30954201705916
2013-11-14,496.71,498.82,496.12,497.85,65072980,16.73398948309744,20.133807212297352,18.34366106879999
2013-11-15,497.88,502.12,497.72,501.34,91215010,16.866114338445737,24.561592831395537,16.86329958287878
2013-11-18,503.44,507.41,503.33,506.48,115879988,18.16020055602895,31.262264401782602,15.05792402017272
2013-11-19,505.45,507.63,504.71,504.71,96548510,19.403373228055546,30.015391264333026,14.266651815985988
2013-11-20,504.68,505.75,502.98,505.52,107162214,19.876190751790194,28.48614947139688,16.721773660012076
2013-11-21,507.0,510.21,503.54,503.54,173935437,21.179026241992904,32.965146642523095,14.770341593997053
2013-11-22,505.16,506.46,502.83,505.64,105875314,22.119859938600623,30.85477494489868,15.07691786426199
2013-11-25,506.96,509.72,506.08,506.46,97382829,23.550510504642244,34.38208194859146,13.992637144246142
2013-11-26,507.08,510.75,504.65,509.16,93482016,24.339490760126385,30.81402371084316,14.973325275760843
2013-11-27,511.73,513.25,507.66,508.43,102743328,25.49694764988652,32.10615736490875,13.58228629595246
2013-11-28,508.52,509.15,506.99,507.71,82129185,26.31498828751128,30.911170535848804,14.231260497928181
2013-11-29,507.42,508.78,506.05,507.78,101245300,26.710669320390224,29.420706616976428,15.205303934434319
2013-12-02,508.71,509.48,507.1,508.53,77687566,27.219106878463542,29.42031935299298,14.546779541775171
2013-12-03,508.13,512.33,508.13,511.62,125503230,28.223958019702476,32.34333424217147,13.440536899595973
2013-12-04,512.0,513.4,510.66,510.88,111829030,29.33981996805839,32.68354039537074,12.758855844581374
2013-12-05,510.41,512.21,507.52,510.03,103881666,29.13205563577989,29.889161445656853,17.39217499638581
2013-12-06,510.03,512.37,509.76,510.12,78639080,28.97381238015298,28.731096513986337,16.544439045898198
2013-12-09,514.13,514.13,510.94,511.23,102308070,29.20540088531138,29.86241926930201,15.30973485460121
2013-12-10,512.1,513.83,510.24,511.6,80981720,29.135967624039132,27.857969860765348,15.590903727903735
2013-12-11,511.74,511.81,504.9,505.31,103538540,27.25444852098547,24.455357958183992,23.125612490788043
2013-12-12,503.77,507.68,503.76,506.92,80162230,25.42834977624861,22.757213108983045,23.53918995620869
2013-12-13,507.07,509.35,505.49,506.06,67670470,23.959033130338803,24.163690298738548,21.924752141232492
2013-12-16,503.46,506.52,502.04,502.04,60698890,22.839086677633013,22.255820187220053,26.273982433853394
2013-12-17,503.13,505.67,502.2,505.67,73503300,21.799136400120492,20.821299952170186,24.58046769749915
2013-12-18,505.2,506.11,503.66,505.25,60331098,20.692745075451292,20.693211452005063,23.480416220149973
2013-12-19,504.92,508.04,504.92,506.28,111083574,19.364997714266167,23.073683634270694,22.12262582121089
2013-12-20,507.47,508.29,504.45,504.45,142429660,17.98378788774251,21.431081636447633,21.419057826066627
2013-12-23,506.6,509.41,505.73,508.68,107410317,17.055390744456336,21.534661524883163,19.48912218347395
2013-12-24,508.61,509.54,505.62,505.62,90614487,16.235122245438433,20.23703398427731,18.100980967744803
2013-12-25,506.37,506.53,503.03,504.42,73405593,15.557955006204187,18.939897552940156,21.68394940665152
2013-12-26,504.41,507.57,503.59,506.55,82220668,14.562656003108378,19.463251085506304,20.10576041313285
2013-12-27,507.08,510.09,506.41,506.41,73739700,14.215429891178355,22.775425507466643,18.747119750449574
2013-12-30,506.62,507.02,500.35,500.35,92187030,14.262061842138936,20.121400506830163,27.149816017695898
2013-12-31,500.67,506.44,499.49,504.63,60922914,14.506617415147394,17.79454672228557,25.44114126369628
2014-01-02,505.61,506.71,503.04,504.51,57717674,14.640680618685797,17.150500444698626,23.87130962677298
2014-01-03,504.41,506.19,503.94,505.37,55600438,14.765167879114315,16.47914531975467,22.936868902507598
2014-01-06,505.74,509.1,504.28,509.1,68738380,13.870591015614595,20.114809451530697,21.037060633486135
2014-01-07,511.02,513.0,509.87,510.12,74363638,13.809454727032161,25.492293012479234,19.62094774759884
2014-01-08,511.03,514.2,509.01,513.9,70296940,14.045416455095275,25.283691678542,17.89462188707157
2014-01-09,513.92,516.98,513.52,516.98,91486106,14.887244826964505,28.555254504932044,16.831417149486043
2014-01-10,518.41,523.06,518.24,518.94,107179750,16.720788152585655,35.776326630793506,15.13023008002842
2014-01-13,519.31,522.32,518.78,521.11,71994499,18.423364097805297,33.6441401336113,14.228503287090172
2014-01-14,520.73,524.59,520.63,522.31,94864592,20.340455764071173,35.23034243988198,13.275371952998915
2014-01-15,523.82,527.09,522.45,526.68,127581605,22.456204083060353,36.59777765907867,12.211971806824964
2014-01-16,528.83,533.54,527.9,533.54,97752875,25.109084433487688,42.92402099926997,10.866648849466994
2014-01-17,537.48,549.88,536.81,543.59,118065054,28.566432071082115,55.499358548992305,8.472440642988373
2014-01-20,548.22,559.93,548.22,553.67,105722499,32.12826947928873,56.65116910330062,6.847664785421102
2014-01-21,555.72,560.18,547.65,559.91,100920439,35.29271095914909,48.906002097449615,6.533409911927762
2014-01-22,561.34,564.61,551.92,551.92,125281534,38.37562774489259,47.08974422430875,5.68560856692178
2014-01-23,550.88,556.5,550.52,553.55,73716290,40.8765382516828,44.18031845338084,6.780789514971756
2014-01-24,555.66,560.19,553.46,560.19,88005982,43.34053649102845,44.92217417012658,6.3084015310825
2014-01-27,560.45,560.45,556.52,556.52,67551730,45.638431187328585,43.31438056168741,6.043625719019561
2014-02-06,554.8,557.29,551.45,554.68,89235280,46.447601184382215,40.588146264751416,11.12743101989957
2014-02-07,557.71,558.51,549.37,549.76,124966662,46.69892714629574,36.69536247497297,12.242826429608444
2014-02-10,550.42,555.9,548.56,555.9,110186930,46.73562411699653,33.884756393381736,12.150347788195356
2014-02-11,560.35,561.83,553.9,553.9,175048180,47.24649388003665,37.23088366342587,11.15616647308211
2014-02-12,555.91,564.25,554.26,564.25,124702840,47.894282715938154,35.80239546414649,10.005457060065517
2014-02-13,567.77,570.68,565.27,570.18,147121230,48.90432924745124,39.946621466676135,9.359562628095555
2014-02-14,573.09,576.18,569.38,572.22,141409934,50.13408235113126,42.75011480148285,8.718570748888105
2014-02-17,571.27,572.85,567.89,570.2,163684700,50.91476463120698,40.567711886234896,9.807050945301658
2014-02-18,570.65,574.56,570.16,574.56,160281020,51.74053262233428,40.48846870779164,9.351001974611108
